Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
100_g_at	120.25	255	3.5	31	6.5	-8.25	19.15	73
1000_at	583.6	885.4	253.65	293.35	201.2	433.75	134.25	251.15
1001_at	35.85	40.5	47.2	33.05	86.35	119.25	37.1	72.1
1002_f_at	17.6	19.85	11.1	23.1	38.75	94.6	452.1	662.5
1003_s_at	0.15	26.4	78	36	89.5	34	22.75	100
1004_at	34.7	77.75	-12	16.9	121.75	24.25	30	54.35
1005_at	102.75	440.5	119.1	125	1181.85	3128.4	544.25	1305.45
1006_at	-21.1	6.25	-28	-29.15	0.5	2.5	-32.25	-76.6
1007_s_at	973	1954.4	809.5	1001.5	108	216.55	108.4	110.9
1008_f_at	397.25	744	399.65	512.25	740.85	1110.5	1031.9	1034.65
1009_at	970.9	3426.75	704.85	983.1	1246.15	2776.4	801	1296.75
101_at	-7.4	36.35	-52.85	-12.6	0.25	34	21.35	-35.25
1010_at	-36	-55	-50.1	-48.4	-45.7	-115.8	-39	-94.75
1011_s_at	291.75	257.25	441.85	558.6	77.75	195.6	28.75	84.35
1012_at	-19	5.75	-3.35	11.15	-8.65	-12.15	-22.35	-69.85
1013_at	27.25	1.15	45.05	64	24.35	87.85	7	4.25
1014_at	156.25	212.4	90.5	108.5	112	159.35	-26	-40
1015_s_at	-22.75	19.65	-11.1	-72	-47.25	-83.85	-19.15	-146.5
1016_s_at	8.5	6	20.1	19.15	13.25	26.25	18.85	20
1017_at	31.75	46.5	95.25	136	31	41.35	13.6	-2.5
1018_at	187.85	226.5	171.15	89.4	91.75	68.5	-40	-12.15
1019_g_at	296.75	628.45	302.5	317.25	49.25	33	78.65	142.85
102_at	-5.35	25.35	13.15	22.5	15.5	-9.6	15.75	-1
1020_s_at	194.85	321.15	110.85	165.15	307.25	635.75	346.75	777.85
1021_at	23.25	21.25	39.15	15.4	29.9	48.9	26.75	56.6
1022_f_at	0.25	12.35	13.35	-10.35	16.55	31.25	16.55	41.75
1023_at	-22.65	-27.5	-50.25	-11.85	13.5	-18.9	15.6	-52.9
1024_at	58.65	42	50.5	91.35	66.25	72.65	83.5	146.35
1025_g_at	11.05	16.25	13.1	-3	0.15	2	60	87
1026_s_at	57.15	51.5	23.5	-56.5	67.35	97.5	74.6	153.65
1027_at	39.85	18.1	68	74.5	33	-22.25	8.1	57.5
1028_at	57.5	41.75	43.35	21.95	55.6	85.6	20	119.75
1029_s_at	-37.6	15.35	-10.75	-7.85	-48.1	-23	-2.75	12.35
103_at	24	24.85	-33.1	-15.5	-36.1	-63	-7.75	5.85
1030_s_at	149	213.75	450	535.5	265.1	685.5	51.5	45.9
1031_at	31.5	33.55	175.4	209.85	22	65.85	4.1	12.4
1032_at	186	169.85	207.9	222	555.4	550.85	189.15	985.25
1033_g_at	-1.4	77.5	31.75	-68.5	88	100.9	29.75	161.4
1034_at	61.5	249.75	154.15	123.5	239.15	470.1	119.75	170.5
1035_g_at	74.25	197.65	151.5	174	293.5	775.5	87.9	254.4
1036_at	12.1	-3.6	-0.65	-1.6	-5.4	1.15	14.5	15
1037_at	0.65	0.4	6.9	17.5	13.5	7.65	14.5	4.6
1038_s_at	79.15	102.6	156.35	221.35	108	339.5	13.5	12.15
1039_s_at	81.9	41.25	163.6	310.15	50.75	129.75	14.8	16.35
104_at	38.4	76.4	42.5	81.5	18	1.65	2.9	2.25
1040_s_at	8.75	0	25.9	31.65	-29	17.4	-17.25	12.25
1041_at	-6	-1.5	-34.25	-7.6	20.5	-64.75	-1.6	-72.35
1042_at	-4.35	-4.25	10.5	22.6	0.1	35.45	7.8	-13.85
1043_s_at	15	11.35	-20.85	25.85	13.95	10	-1.9	3.15
1044_s_at	15	45.35	70.6	100.5	27.4	50.25	4.15	4.6
1045_s_at	1.8	39.35	39.35	61.75	7	65.15	11	49.15
1046_at	30.4	55.65	130.75	172.65	24.9	50.5	30.25	41.45
1047_s_at	70.8	46.75	36.05	71.75	738.5	2044	398.5	1110
1048_at	80	56.25	55.25	63.5	32.85	67.15	37.25	46
1049_g_at	-11.15	20.35	35.75	7.75	-21.15	-31.4	-19.65	25.6
105_at	26.9	18	30.5	29.75	153.25	440.95	312.5	540.5
1050_at	5.4	-2.5	-18.25	-12.1	-14.25	-2	-12.65	6
1051_g_at	2	7.25	-3.75	-3.35	-9.5	12.55	5.25	12.6
1052_s_at	290	551.15	168.75	230.25	3277.1	6458	327.35	863.1
1053_at	57.15	101.75	51.25	82.4	35.15	255.65	34.35	48.65
1054_at	14.1	20	36.35	31	26.6	104.1	18.65	16
1055_g_at	35.4	40	63.35	80	31	83.65	24.5	23.65
1056_s_at	20.5	24.9	-1	34.5	13.9	40.9	26	21.85
1057_at	93.15	73.95	99.5	106.75	115.75	157.25	90.35	125.25
1058_at	783.5	1130.8	163.75	160.75	-22.5	-10.3	2.5	-8.55
1059_at	14.15	41.5	34.25	15.7	4.1	1.35	-1.5	10.85
106_at	-12.5	13.15	27.85	-12.25	51.9	121	19.4	29.45
1060_g_at	18.55	45	38.15	28	102.5	122.3	73.95	188.85
1061_at	39.75	34.35	93.5	96.4	103.9	159.9	33.1	103.25
1062_g_at	50.15	18.65	-4.35	15	33.9	67.1	-3.25	39.1
1063_s_at	158.15	1189.1	103.25	131	-15.6	-13.9	7	-37.25
1064_at	51.5	42.75	104.1	167	30.95	79.15	6.5	-3.75
1065_at	39.35	18.35	52.5	42.35	17	30.85	19.65	47.5
1066_at	8.9	10.75	49.5	0	31.75	-36.5	49.5	126
1067_at	24.75	46.5	33.85	26.85	43.45	140.15	25.25	141.9
1068_g_at	-177.1	-159.65	-200.05	-239.1	-177.25	-417.75	-98.25	-581.25
1069_at	14.1	3.65	2.85	-22	-20.75	-13.5	8	-0.4
107_at	-44.55	-11.85	-29.65	-70.75	-72.65	-164.15	-61.65	-127.6
1070_at	19	22.4	34.9	76.95	33.25	76.5	7.85	2.95
1071_at	-50.95	-13.5	-42.1	-9.25	14.6	-15.5	-31.1	-50
1072_g_at	17.4	72.35	-20.15	25.1	36	48.25	61.1	49.4
1073_at	219.25	213.25	429.1	509.75	188.25	365.65	75.5	122.75
1074_at	98.5	104.15	281.4	384.65	64	214.6	9.4	1.5
1075_f_at	5.8	-1.7	21.05	24.7	-4.65	17.65	3.85	5.15
1076_at	5.5	11.25	13.4	26.1	19.4	16.5	6.35	-17.5
1077_at	-1.65	-1.75	-1	-14	-8.65	-2.5	11.25	20.6
1078_at	-11.1	9.5	-20.65	5.25	-18	0.85	-0.35	-3.1
1079_g_at	-1.6	9.25	29.65	26.1	43.65	49.1	2.55	12.5
108_g_at	122	290.7	93.1	46.9	-44.35	-16.25	17.6	61.75
